result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1245	Walker, Donnie	200	49286300	200 BK LCM	18	2:07.91	2:07.91	2017 US Open	2010 Summer Junior Nats	8/9/2010	Alamo Area Aquatic Association	ST		806	67	m
1248	Eismann, Jacob	200	132350610	200 BK LCM	17	2:07.92	2:07.92	AAAA	2018 Sectionals - Cleveland	7/19/2018	Ohio State Swim Club	OH		817	67	m
1248	Kalin, Greg	200	121256376	200 BK LCM	16	2:07.92	2:07.92	2019 Winter Juniors (SCY)	2017 Sectionals - Columbus	7/19/2017	Mercy Healthplex Sea Wolves	OH		860	67	m
1248	Moris, Cody	200	88554540	200 BK LCM	17	2:07.92	2:07.92	2019 Winter Juniors (SCY)	2014 IN NCSA Summer Swimming Cham	8/5/2014	Academy Bullets Swim Club	IL		817	67	m
1248	Sharp, Nick	200	110513633	200 BK LCM	17	2:07.92	2:07.92	2019 Winter Juniors (SCY)	2016 MS Southern Zone Senior LC 	8/3/2016	Saint Andrew's Swimming	FG		817	67	m
1248	Shehab, Alex	200	118070548	200 BK LCM	16	2:07.92	2:07.92	2019 Winter Juniors (SCY)	2017 Sectionals - Indianapolis	3/30/2017	Dexter Community Aquatics Club	MI		860	67	m
1248	Trieu, Ethan	200	121191358	200 BK LCM	17	2:07.92	2:07.92	AAAA	2017 Sectionals - La Mirada	7/22/2017	Brea Aquatics	CA		817	67	m
1254	Allen, Ian	200	140259219	200 BK LCM	17	2:07.93	2:07.93	AAAA	2019 Sectionals - Indianapolis	3/28/2019	Huron Valley Penguins	MI		817	67	m
1254	Poon, Brian	200	77387051	200 BK LCM	16	2:07.93	2:07.93	2019 Winter Juniors (SCY)	2013 NE SSA Seniors	7/19/2013	Phoenix Swimming	NE		860	67	m
1254	Vorobev, Andrew	200	110415952	200 BK LCM	15	2:07.93	2:07.93	2019 Winter Juniors (SCY)	2016 Sectionals - Brown Deer	7/23/2016	Highland Park Aquatics Club	IL		905	67	m
